,Time_submitted,Review,Rating,Total_thumbsup,Reply
53154,2022-02-11 16:53:53,"Ok, but the longer you listen to free music, the more frequent the adds become. Cheap marketing schemes to get you to buy premium.",2,0,
24071,2022-05-09 05:59:51,"Constantly crashes on Samsung 21 ultra! So glitchy its hardly worthwhile. If it wasnt for JRE, I would be elsewhere.",1,0,
10316,2022-06-16 14:48:06,"I can't even open my liked songs list, please fix this already!!",1,0,
46964,2022-03-08 18:35:22,Just logged me out of my account for no reason it was working perfectly fine yesterday and now it's not letting me in using log in without password doesn't work either and just says error,1,2,
29471,2022-04-25 01:38:38,Playlists messing up not doing what they are supposed to in ability to restart playlists but I I've seen it work before so I am very disappointed it stopped working,2,0,
29245,2022-04-25 15:46:14,Not what it used to be. Too many suggested podcasts and genres that have literally nothing to do with what I listen to. For a premium account it is ridiculous.,1,0,
25122,2022-05-06 08:24:10,I cant even listen to anything at my phonei have to connect it to pc to start playing songs,1,0,
13259,2022-06-09 11:50:08,What is this kind of problem? My Wi-Fi has high-speed network but the song isn't playing. Is this maintenance problem?,1,1,
43407,2022-03-21 08:09:13,I might give a higher rating if the tons of commercials in this app weren't 5 times louder than the music. Making the Ads obnoxious won't make me want to renew my subscription.,2,2,
15249,2022-06-03 17:12:10,"This app is nice with how they recommend songs, but unless you have premium you can't skip any of the songs which is very stupid. It doesn't allow you to listen to a specific song and when you pick a Playlist it will play songs that aren't even in it. Sometimes the songs it plays for you aren't even in the same language. Hearing lots of good things about this app I was disappointed",2,10,
22505,2022-05-13 19:00:49,"If your thinking of using this free, don't even bother. It's so much better on pc. The free version is a joke. I just found out that you can't even play a song separately. You gotta add it to a playlist and then play that full list waiting for that song to arrive. On suffle btw. And you get like 6 skips an hour. So there's definitely better choices for free users out there.",1,131,
41893,2022-03-27 00:57:15,Recently the experience has been so bad i can't even play the song that I wish. The only way to listen to a song is through shuffle play. Need to fix this or I am not using spotify anymore.,1,2,
30113,2022-04-23 14:41:20,I pay for my premium but after paying nothing happened I still have those ads and i can't download song you already take my money you better pay me back or fix this fast,2,0,
52299,2022-02-15 06:21:07,I hate this app when I tried to look up a so g I want to listen to all it did was give me other songs that didn't even come close to the meaning of the song I was looking for and when I did find the song I wanted it would replace it with a new song if I could I would give this app a 0,1,0,
38531,2022-04-11 10:19:56,"The apps has a lot of errors recently. Some downloaded playlists can not be played because it says I'm offline, even when I am connected to Wi-Fi at home. This is only one example of some errors. I would expect more from the biggest music platforms that exist today.",2,1,
28028,2022-04-28 08:09:02,Fir your tech team ye morons in Spotify. Half the time your app cannot detect internet and reports that there is no internet. Not a single other app on my phone has this problem. And this issue is reported since last few years yet you don't fix it. Pathetic.,1,0,
21123,2022-05-17 17:22:49,"If you dont have premium, you cant play any of the songs you want, i really want to play some songs but i really cant. Please fix this.",1,0,
7329,2022-06-23 08:57:52,"Please stop adding songs to my playlist 🙏 , you are ruining my day with those songs",2,0,
7764,2022-06-22 09:54:21,"Spotify is a good app to listen to music however it forces you to pay like nothing will function, I'm willing to pay it's not a big deal however my experience wasn't good while I didn't pay so I don't think it's worthy to pay for.",1,0,
16606,2022-05-30 18:22:54,Its crashing whenever i tap the play button the app closes automatically,1,0,
26353,2022-05-03 00:21:51,"It works ok, but a has a surprisingly large number of random bugs. Can't use library offline at times. Skipping songs prevents alternating songs from playing. Long load times of downloaded songs. Has large library of songs available, so there's that",2,0,
36092,2022-04-14 04:58:46,"after the latest update it keeps crashing, intermittent pauses. control bar is missing too",2,1,
43028,2022-03-22 20:51:24,"Literally the WORST. The fact you can't play only one song you want to listen to, the ads, the ""only 6 skips per hour"", the adding random songs to my OWN playlist and many more. Honestly disgusting.",1,2,
27858,2022-04-28 16:36:01,Used to be a solid 5. This new update ruined my experience! I no longer can control or skip a track. The player interface is gone. Major deal breaker for me.,2,0,
40618,2022-04-02 08:08:55,This app is not good unless u want to pay. If u don't u can't even listen to ur songs in the order you want them in,1,0,
556,2022-07-08 09:56:54,Whenever I hear an ad on Spotify I vow I will never use that product,2,0,
51968,2022-02-16 13:40:17,"Only use it because I have to. The podcast app I used no longer has my favorite podcasts. I don't like the U.I. , doesn't automatically download the ones I want . Hard to find what I want . I guess if you can't win you just make sure the apps that are better just go away",2,0,
22178,2022-05-14 18:10:55,"UI developers are supposed to make the UI better, not worse. Seems like some dev needed to justify their existence at Spotify and created this stupid new layout so they could look busy at work. Its garbage. Go back to UI kindergarten and revert the complete nonsense changes that were made to music controls (left aligned buttons)",1,1,
39006,2022-04-10 01:38:21,"Android needs car mode back alot of us with motorcycles use it so the screen doesnt black out and ease of use ,and we should be able to listen to our own music on wifi not just bluetooth. other than that seems to be running fine",2,11,
36287,2022-04-13 23:39:45,"Since last update been having NOTHING but problems! Randomly just stops playing music, doesn't show on lock screen what's playing and even after closing app continues to play music. Have to restart phone to turn music off. Fix this asap!!!",1,2,
11882,2022-06-12 22:43:59,"Terrible,Adds song I don't like or add to my playlist,So many Ads and Does not let me go off of the songs I don't like or add",1,0,
38110,2022-04-12 00:58:33,Where the hell did the current playing screen go on mobile? Can't see the current song I'm playing to scroll through music or even skip song that are playing. Locked my phone hoping the widget would come up but nope...? Why?,2,2,
61561,2022-01-01 18:03:07,Too many adds. Many times I get about 5 adds right at the startup of the app. Many times the adds are repeated 2-3 times in the same add break. Extremely annoying. The app is coming off now...,1,0,
59771,2022-01-20 16:20:33,My spotify has been skipping every song that has been playing after the song plays for about a second or so. I have tried uninstalling and restarting my device but nothing has been able to fix the problem. Can't play any songs without them being skipped. :/,1,2,
18187,2022-05-26 15:28:44,"Trash app. I mean, c'mon. Syncing is non existent without updates and even then, it's trash.",1,5,
33919,2022-04-17 01:38:18,"I spend too much money every month for a service that doesn't work. I've been a loyal customer for a long time. I pay for the family plan. Not sure if they are working on the bugs or not. Came on here to see if anyone had gotten a response. Crickets... I figure I'll give it another couple days, and I'll have to cancel my account. At this point, I would highly recommend finding another app.",2,0,
18422,2022-05-25 21:13:59,"The app is super glitchy, crashes all the time, restarts podcasts all the time and the fact that it blacks out video is extremely irritating. EDIT. This app is still absolute garbage.",1,1,
31237,2022-04-21 10:17:59,I cannot give this app more than 1 star because of how much I absolutely despise your 'Suggested Song' Playlist and my inability to turn it off and go back to the songs I handpicked. I also hope Mailchimp and Starbucks are paying you extra to turn up my volume on their ad.,1,5,
34864,2022-04-15 12:19:24,Latest update has me having to close completely out of app to show what song is playing and/or show controls. Was perfect until now 👎 Will update review after problem is fixed.,2,1,
36811,2022-04-13 12:56:49,"Last update messed everything up. It overlays with all the other sounds of my phone. Does not show the control bar on top of the notification bar, so I can't control nor know what song is playing. It doesn't even show the control bar at the app itself. Pretty disappointed.",1,21,
8099,2022-06-21 16:53:39,"Actually this app was really great but it's new update disappoints me, I can't play my favorite songs and it's too restricting. This app makes me infuriated! 😤 And I'm gonna uninstall this right now!",1,0,
51947,2022-02-16 15:09:27,"Use to love it, now when connected to Bluetooth it gets annoying starts playing music on its own even when app has been force stopped. Each time I play a VoiceNote back from WhatsApp, music starts again. Getting so annoying, I considering cancel and deleting it. Just have a actual stop button or something. Even when using maps each time she speaks it starts up again 😠",1,86,
14023,2022-06-07 04:04:07,"Only one subscription available from install, why can't we register a family plan from the start. Why does your company need to keep credit card info? Cant you run the subscription service through Google play like other competitors? You make it more difficult than it needs to be...",2,0,
50989,2022-02-20 03:25:59,Primarily use this app with my car's Kenwood DDX919WS spotify feature. Does not work anymore and just stuck at disconnected. Only works on bluetooth mode with no ability to change playlist. Had to roll back app version to make it work again. Happened with 3 phones with updated spotify android app. Waze app also cannot link to spotify music player properly and would fail at times.,2,4,
8697,2022-06-20 09:27:56,Since past few months the app stops while playing songs suddenly without doing so and I have kept the app updated and also have a good internet connection still the issue is persistent please can you look into it.,1,0,
46869,2022-03-08 18:39:57,Logged me out on several occasions. Customer care is no help and they won't let me back in my account yet they still charge me. Fix this.,2,0,
26900,2022-05-01 12:37:28,Limited selection of music. Not as many of my favorites available. Huge amount of ads.,2,0,
30274,2022-04-23 05:37:58,"Usually great, lately it has been garbage. Sometimes stops playing for a few seconds, and doesn't show the current playing song. Desktop version of spotify is working fine so it's just the app version that is having these issues. Hopefully they will fix it soon.",2,0,
14473,2022-06-05 22:27:12,Recently tried logging back into my account on my phone but was unable to. They would not send me an email or instructions on how to reset my password. There are also way to many adds. The app plays multiple adds in a row and rarely ever gives you an option to get 30 minutes of add-free music. Went ahead and deleted the app and got Pandora.,1,9,
46430,2022-03-08 19:01:29,"It's a good app, but has completely stopped working!! I was listening to music perfectly fine in the morning! I come home and try to open spotify and it logs me out. It's never done that before. Also non of my passwords are working and it's says failed to send a link!! Please fix this problem as fast as possible because for some people spotify is the only thing that helps them or entertains them! What if I miss a live podcast of one of my favourite people!! I need to listen to music! Thanks!!!!!",1,50,
49125,2022-02-28 00:27:15,"I love this app, but today it logged me out and I can log back in. I can log in on the web just fine, but with the app on my phone, no go. Please fix!",1,0,
43933,2022-03-18 23:57:19,"Maybe with all your money you can afford a feature ""not play the same fkn song twice in a row"" on shuffle",2,2,
22487,2022-05-13 20:24:18,bad streaming quality,1,0,
24366,2022-05-08 09:00:29,"Way too many commercials. ""Enjoy the next 30 minutes uninterrupted"" translates to ""listen to the next song and then you get 5 more ads"". The app used to be pretty good but then they got greedy.",1,0,
2574,2022-07-03 23:05:51,Impossible to use liked songs will only play in shuffle controls are unbearable and the app is stuck on one song and will not let me play any others,1,0,
14985,2022-06-04 11:13:43,"I brought the premium plan still Every time I click Spotify icon, it opens and closes automatically. It never allows me to play music on this app. Worst experience.",1,1,
49708,2022-02-25 15:28:31,No lyrics as account holder but family members all have lyrics. I talked to support twice and they say it will happen but it's all the same plan and I used to get lyrics but now as account holder for family plan I don't.,1,0,
57503,2022-01-28 17:58:48,Horrible premium ads. Guaranteed to bug you. No respect for local languages or culture in their ads. Spreads anti vax propaganda,1,4,
6294,2022-06-25 16:01:08,Worst app ever just go and download SoundCloud instead of this app its the worst app i have ever seen it has like a billions of ads in it and its just a weird wastes all of your time on ads rather then listening to music🎤🎼🎹🎶,1,0,
32445,2022-04-19 20:24:35,"As the user below mentioned, on S22 ultra the playback panel constantly disappears and only comes back after restarting my phone. Sometimes the app continues to play even after it's been closed and also needs a restart to fix.",2,1,
10484,2022-06-16 05:38:38,"I have purchased premium plan however, i am getting low volume quality song.",1,0,
54614,2022-02-06 16:11:50,"I only use it to discover music since the free version does not allow you to make use of many features. ***I felt I needed to mention this though: recently this app has been recommending to me VERY specific podcasts that ""happen"" to have to do with matters that I only talk with my friends about, meaning I never look this stuff up online, ever. So it's starting to feel quite creepy. Just saying :|",2,0,
23457,2022-05-10 22:20:42,"Used to love Spotify but now not so much. For starters,while the mini player is active, it often disappears from notification panel and I lose control over what's currently playing. Even switching songs does not bring it back, I have to force close the app, then reopen and track down whatever I was last listening to and find the specific episode all over again. Not to mention, how are you going to take it upon yourself to add songs to my Playlist...",2,7,
14499,2022-06-05 20:31:18,"Always add tunes I don't like!!! I'd rather use my data on stuff I like, not wasting it on deleting s... .on the verge of uninstalling the app!! I don't have broadband etc so really annoys me🤬",1,0,
8906,2022-06-19 19:39:49,It's really good I've got premium but I need to use the genre feature in the liked songs. My genre sorting feature does not work for Android Google Pixel and I would like it to be fixed please and thank you thanks,1,0,
12054,2022-06-12 14:23:24,I faced problem i ordere song and click to play but suddenly its playing another song why,1,0,
41240,2022-03-30 13:33:41,"Last version has been a disaster for my Android phone, it freezes, crashes, idles for ages. Everything was perfect before, I have re-installed several times, Im a premium customer, not sure if I will keep paying if the issue is not fixed in the next week or so.",1,2,
17861,2022-05-27 15:26:42,"I hate that the lyrics aren't offline, you'd think for the amount we pay on the monthly basis for the premium experience we'd at least have our lyrics for offline use, I also hate how buggy it is its just so terrible these days absolute bull",1,1,
1058,2022-07-07 08:44:10,The problem is that I'm trying to listen to my music but on phone there is no way to stop the randomized song option which chooses from your Playlist which doesn't sad to bad until you notice that they also added songs so play instead of your music and I've spent an hour deleting music off my Play list that I didn't even add and after I finished they added more songs so basically what I'm saying is is that I can't even listen to the songs I like when using this app,2,0,
53902,2022-02-08 23:51:22,App won't connect to the spotify in my vehicles radio now. It worked just fine a couple of weeks ago then all the sudden won't anymore. The phone connects but spotify does not. It plays though Bluetooth but not the spotify app. Has to be a update caused it. I have a pioneer avh-2500nex head unit.,2,3,
31369,2022-04-21 05:39:53,"I love spotify and its my go to music app but offline mode suddenly makes downloaded songs unavailable, online mode skips tracks, and so many other bugs like playing songs and not showing them and etc...",1,0,
51196,2022-02-19 09:22:02,"if I could, I would give 0 stars. Whether I listen to music online or offline, when I open an app music shuts down. I regret buying premium version.",1,4,
20280,2022-05-20 03:41:13,"I have payed for spotify premium for several years, but I can no longer tolerate the absurd amount of bugs that fill the app. A few examples: awful shuffle algos that don't play a huge chunk of my library, playlists being created then completely disappearing, frequently needing to restart the app to get it to work properly, and now, it doesn't work at all. The app won't let me play any music or podcasts, and none of saved content is showing up whatsoever. I do not recommend paying for this.",1,97,
41902,2022-03-26 23:51:25,Spotify is horrible if u want to listen to a song u have to go through a full 20 song Playlist to get to the song u wanted that is annoying asf. There is also way to many ads.,1,0,
51008,2022-02-20 02:00:23,I dont know what happened but now it doesn't connect to the radio in my car half the time like it used to?,1,0,
11573,2022-06-13 17:03:57,Started freezing when I open app. Going back to piracy since y'all suck.,2,2,
48588,2022-03-02 10:17:00,"What happened with Spotify? Just kicked out from my Premium-plan & unable to update my payment. Been trying for all kind of payment method & all of Premium types, its doesn't work 😢",1,0,
42043,2022-03-26 11:22:24,Too may ads... Sometimes its like more or less 2 or 3 ads after every song... And everything's about premium... Which really spoils the mood and the songs .... I liked ot better before.... But now it's all about premium and ads .. ughh,2,0,
13107,2022-06-09 21:42:52,It changes to a random song a song that I don't even care about and then I have to just play a different thing which then it's going to do that the same way and I really wish you could just keep it the shuffle play that I do even if it's not unlike song stop switching the dumb thing I recommend no one doing this I hate it,1,1,
57900,2022-01-27 15:56:47,If you want vaccine misinformation via podcast this is your app. I personally am deleting the app and ending my subscription.,1,4,
59100,2022-01-23 08:37:17,Nice app . I liked it but try to avoid the ads plz . Its tooo annoying . After each song there is 2 or 3 ads 😌😏😒,2,0,
39055,2022-04-09 19:52:14,"Starts and stops playing by itself on pixel 5, Android 12.1.",2,1,
46790,2022-03-08 18:43:14,"Usually works fine but one day kicked me out of my account, would not let me back in and I tried 5 times to make new accounts but it refused every time",1,1,
24785,2022-05-07 05:54:06,Lyrics don't show up for any song.,1,0,
1805,2022-07-05 17:39:19,"What is up with free Spotify. I get that I'm not going to get the best version of the app but you only have 6 skips. The 6 skips are that bad but pair it with when you play a playlist it just plays random songs that aren't even on your playlist. So you skip those song but then the app is like: ""woah slow down instead of skipping try editing your playlist?"" And you can't edit your playlist because it's playimg random songs. And when you search noooo it has to play more random songs.",1,2,
30296,2022-04-23 03:52:32,"Very dissapointed. I ve been a member of Spotify since a few years and i always been absolutley pleased with them, but since a month my release radar is flooded with fake artist accounts, using artist names to promote their own music (which i dont like their music). I pay for Spotify, but i do not wanna pay for fake accounts by unknown artists. If Spotify doesn't fix this problem i will have to find me a new music platform. Sorry",1,0,
12045,2022-06-12 14:36:04,No canvas feature available in most Android phones,2,0,
2307,2022-07-04 16:26:44,"hi my spotify is not working today, i tried everything to reinstall it, clear cache, data, restart my phone, it won't work, it only shows up the logo and not responding please fix it thanku:((",1,0,
56857,2022-01-30 15:04:17,"Since I canceled Spotify (hey, everyone, Napster is cheaper and pays artists better!), I've been sleeping like a baby. I'm pretty sure if I had cancer, cancelling Spotify would cure it. That medical misinformation is okay, per Spotify, as evidenced by the fact they're totally cool with COVID lies and blatant racists on Rogan's hate filled turdcast! Also, pay the artists, you soulless diarrhea splatter of a company.",1,5,
29747,2022-04-24 11:40:36,slow as hell and takes long to open,1,0,
581,2022-07-08 08:36:46,"Pathetic experience !!!!! I uninstalled this app after 1 or 2 weeks only.. you can't even play the music of your own choice, and you cannot even change the music when u want! I mean wth???! They charge for everything... You have to pay for everything , huh, Lol... There are easy and free alternatives, i mean why would we use this app and pay for it...",1,0,
22562,2022-05-13 16:43:35,Why is anyone paying you when your app both on Android and Windows DOES NOT work properly when offline. What is the point of downloading to either if I can't access it when internet is limited or unavailable?,1,4,
7679,2022-06-22 14:15:16,Everytime an ad comes on it dosen't make me want to get premium. It almost always makes me want to delete my account.,2,0,
36017,2022-04-14 07:11:46,Horrible app now. Don't know what update messed it up. Spotify will stop midsong. The app opens up without any icons to pause play or rewind and forward. Annoying I have to close out the app and reopen for them to show up.,2,0,
24336,2022-05-08 11:03:08,"I have used spotify for years now and ive always been satisfied with what it offered but since the latest update, it has got worse. If I want to create a playlist, I no longer can play ""a bit of the song"" to see what song it is because mostly, you dont know the songs' title. Please fix this!!!!!!",2,2,
54083,2022-02-08 10:58:15,The amount and quality of the ads had been getting worse for some time. Now they are getting political and censoring content.,1,1,
46374,2022-03-08 19:06:17,"PORQUE NO SIRVE? fix the app , it's logging us out and telling us that we have the username and password incorrect, it states we have to make a new account. I NEED MY MUSIC 🧍🏽‍♀️FIX IT.",1,1,
40715,2022-04-01 18:07:26,I paid for a month subscription. I like songs that are good. Why do I still get dogshit recommendations? Why does it take so much damn work to find good music? My disappointment is immeasurable,1,0,
25530,2022-05-05 08:26:09,You just have to pay even for music to shuffle🤦soo materialistic,1,0,
47105,2022-03-08 18:27:29,Unable to login to my account.All of a sudden it logged out and now throws an error saying my account doesn't exist.I have a premium subscription till November.,1,2,
5492,2022-06-27 15:15:11,"I really get more ads compared to before, i hate it.",1,0,
14889,2022-06-04 16:44:16,"App won't load downloaded music without internet connection. Queue system is designed poorly. My upcoming music is a ""playlist"" with a ""queue"" nested in it? So I add a song to play next (starting a queue) but once the song is over it disappears. If I hit back it plays the song from before the one I added specifically. Garbage.",1,5,
14614,2022-06-05 13:17:03,"Still somehow getting worse songs just stop playing out of nowhere, takes 3 or 4 trys to just load up the app, once again great service awful app",1,1,
53949,2022-02-08 19:52:39,Spotify is censuring open conversation podcasts because a small group of bad actors... unistalling because Spotify has no spine.,1,0,
30764,2022-04-22 03:45:16,"App no longer works properly, will cancel and try a different service",1,0,
48837,2022-03-01 08:30:12,Keep playing songs randomly! Please fix it!,2,0,
1949,2022-07-05 11:49:27,"It's been a month of waiting, I'm still looking at my screen a logo of Spotify how nice isn't.",1,0,
18234,2022-05-26 12:50:14,"Premium User. App is becoming unusable, the currently playing controls disappear, thus no way to stop playing when you want to or it keeps cutting out thus stopping playing when you don't want it to! Sort it out Spotify!!!! As this appears to be a common occurrence reading recent reviews!",2,2,
36703,2022-04-13 15:04:18,"Usually good, but as of late it keeps stopping midway through a song if I'm not activley on my phone. It's a new issue that just popped up and is frustrating me.",1,0,
38668,2022-04-11 02:51:06,"It was wonderful until your last update. Now you can't pause or stop a song, you can't even find the song you are on if it's a long playlist. This is no longer my favorite app. Please change it back! 😭",1,2,
34829,2022-04-15 13:20:30,Least user friendly app ever. Barely works without WiFi even when I've downloaded songs and podcasts. Just bad.,1,0,
717,2022-07-08 00:58:27,"This is a bad app. Resso is much better than Spotify. A song is repeated over and over again. I wanted to give it zero star, but There is no system for that. I'm uninstalling it.",1,0,
46236,2022-03-08 19:34:36,"I don't know what happened, I can't log in, I can't get a password recovery, I don't know of it's a system update or maintenance etc. This is the nonsense I'm paying for? Just let me know if u dint want my business then I'll go somewhere else.",1,0,
57757,2022-01-28 00:10:17,So many advertisement. Do not play the songs on your playlist ( different songs). Only allowed 6 skips.,2,0,
56749,2022-01-30 21:33:21,"I loved Spotify up till this year, I mean the app itself is a bit buggy yes music stops playing sometimes but I'm more frustrated with the recent morality. It might be naive to hope that a big cooperation actually cares about global impact and users but, clearly Spotify only wants to make money as of right now. Hope you have fun promoting tyrannical nonsense of a disease that's killed millions of people.",2,2,
38969,2022-04-10 05:17:53,"Recent update and it's gone from bad to way worse! Don't get this app! If they did it, I'll fix my review. Too many issues to mention, not happy",1,0,
54752,2022-02-06 04:55:53,Not really a fan of a platform that continue to support racism and misinformation.,1,0,
52590,2022-02-14 00:08:36,It won't let me play my music I'm deleting this app if you don't change it back were you can just scroll down to a song you like and play it,1,0,
48398,2022-03-03 04:41:57,"I'm a fan of the app, and it used to work amazingly. I'm a premium user and in a recent update downloaded playlists spontaneously become non downloaded. This has become really annoying when trying to use offline mode. I really hope this gets patched quick.",2,7,
16302,2022-05-31 13:31:47,Somehow I lost the enhanced button. Won't come back after logging out clearing data and cache.,1,0,
43211,2022-03-22 05:59:58,"Be very wary of this app. It ignores privacy settings. I turned off all it's own access settings and notifications, yet it still threw annoying popups at my phone.",1,0,
51605,2022-02-17 20:38:02,Frustrating to say the least. Even with the new update I am no longer able to connect to other devices. It keeps playing some and ads in Spanish. Just listen to Amazon Music. This app isn't worth the trouble.,2,0,
8873,2022-06-19 20:42:30,"Since the last update, my Spotify is very slow to non responsive.. I get a black screen that takes about 3 minutes then gives me a time out message..",1,1,
57916,2022-01-27 15:16:18,"No Neil Young, lots of ads, clunky app, actively killing people with antivaxx stupidity. Never been great, but that was the final straw. Only installed for Science Vs, a great podcast I'm going to miss, but c'est la vie",1,2,
26185,2022-05-03 12:13:03,Plays and stops by it self. Settings do not work,1,0,
58827,2022-01-24 12:13:25,"God will punish you people o, so because someone does not have money to get premium, they are not allowed to enjoy music of their choice ba? How can you be playing more than three suggested songs when am playing shuffle from my liked songs? Is that not wickedness? One or two suggested songs should be enough but more than three or four, now thats just evil. I dont enjoy using the app at all you people are evil incarnates and you will get your reward in hell🤢",1,0,
9833,2022-06-17 17:13:42,Stop muting my PC when I'm playing through my phone OR vice versa!! I want the option to play both playing at the same time!! THIS SHOULD NOT BE A PREMIUM MEMBERS FEATURE! 🤬🤬🤬🤬🤬,1,0,
8009,2022-06-21 21:37:13,"Long things like podcasts literally don't play anymore, no it is not my internet. Fix this now Spotify.",1,0,
60773,2022-01-13 00:12:23,I'm starting to hate Spotify you can only listen to like 2 of your songs unless you skip and then you get like 10 ads it's really annoying,2,0,
52184,2022-02-15 15:31:56,Love the app for functions/content. It's had a couple of bugs lately with 'currently playing' requiring shut down to bypass. And the continued support of Joe Rogan will keep the rating down.,1,1,
37634,2022-04-12 16:17:06,"This app used to be great. Now music randomly stops and the interface just stops working. Force close and restart doesnt fix it. Junk app, needs an update.",1,2,
28153,2022-04-28 00:12:13,Add songs feature is broken and doesn't let me preview a song before adding like it used to.,1,1,
20387,2022-05-19 20:33:03,"Need to pay for premium if you want to select songs to listen to. Otherwise they force the artist of their choice into your ""shuffle"". Can't even listen to an album start to finish without paying for premium. Honestly I'm going back to an iPod, this is so stupid",1,0,
38021,2022-04-12 04:21:47,My Spotify keeps stopping and I have to keep reinstalling the app,1,0,
23013,2022-05-12 07:48:41,What is happing with the app? Work well for the last 2 years but lately is stopping too often. And this is very annoying. Why? I am using the premium but even on Android and Apple iPhone the issue is the same.,1,1,
46885,2022-03-08 18:39:13,"Update gone wrong! It logged me out of Spotify and won't let me log back in. It's frustrating that a platform won't let you log in, especially if it jas all your music. Cmon, Spotify, get your act together, and fix this!!!",1,1,
16489,2022-05-31 02:04:02,Used to he an awesome app but now it won't load and stops playing. I stopped paying for the app cause I refuse to pay for an app that won't work.,1,0,
28778,2022-04-26 16:08:00,we are trying to email you due to the certain problem we experience while listening MONEY by LISA and unfortunately we got zero responsed up until now we hopefully fix this problem AS SOON AS POSIBLE,1,1,
1906,2022-07-05 13:41:16,THIS SUCKS i literally picked eroplanong papel and other songs play like what? Spotify fix this and ill give you a better review its rlly annoying you better do something about this!,2,0,
37025,2022-04-13 06:52:17,It has been glitching for the past few days and I can't pause it or skip bc the bar where it shows music doesn't show up!!,1,0,
54667,2022-02-06 11:54:52,Lots of cringe bugs exists. Imagine not being able to listen content you have downloaded already. I am not able to listen without being online lmao. I did not even get the 2021 rewind. I can't like songs and even if i like them from my computer it does not synchronize with my phone xd.,1,8,
29137,2022-04-25 21:25:32,It won't let me play my own playlists and plays other songs suggested to me. The songs in my playlist only play for a few seconds.,2,0,
33627,2022-04-17 16:11:05,I'm having strange devices connecting to my account Changed my password and still the same thing,1,0,
35778,2022-04-14 13:05:23,"Stop breaking the app with useless UI updates, and stop removing music you don't like the politics of.",2,1,
51734,2022-02-17 09:40:11,"There are no country, no language settings. Forced to stick to the internet access location",2,0,
10067,2022-06-17 04:58:49,Ok guys I don't listen to Manowar anymore but Spotify still sucks,1,0,
58704,2022-01-24 22:17:44,"Random marketing notifications. I don't need every app on my phone sending me notifications at all hours begging for attention. Yes, I know the Daily Mix feature exists, why did you feel the need to beep me about it? It's not new, or pressing, it's been there for years.",2,0,
24232,2022-05-08 18:10:51,"Grabage app, I have to uninstall and reinstall to correct a few regular issues, mostly the play button not working and my playlists not loading",1,0,
10593,2022-06-15 22:40:13,"It's okay, I mean, but for you to have to pay to be able to listen to the song you want is kinda ridiculous. You have to skip multiple songs to be able to get to the one you want.",2,0,
49284,2022-02-27 11:47:51,Don't advise to download..months after the app is crashing anyhow...very poor,1,0,
36258,2022-04-14 00:17:38,Latest Android update is shocking - play controls both in-app and lock screen have disappeared and just stops playing every few songs,1,1,
16491,2022-05-31 01:46:34,Super buggy atm. Keeps crashing. Won't communicate with my other devices. Widget is broken. Started with last update.,2,0,
46380,2022-03-08 19:05:58,I've used Spotify really long time and now things are getting little out of hand my downloaded playlist keeps glitch and now it logged out and doesn't let me in when I login in with my correct password and email/username but when it said would u like to log in this emails account I pressed log in and it just put me back to the start pls fix this problem,1,2,
46552,2022-03-08 18:54:41,Why their login problem 🥺 Spotify please fix your issues whatever it is. I just love my playlist don't wanna lose it. Can't login with my id . It says something went wrong try again later.. and not logging in.. please help me out and fix it as soon as possible..😫🙏🏻,1,0,
36211,2022-04-14 01:36:37,I don't know where to start. It seems like Spotify apps has so many problems after updated. Please just read all the latest comment below. Very sad.,2,0,
37774,2022-04-12 13:03:57,You can't sort your songs. For instance all the songs I've starred are ordered oldest first on my phone (yet on my PC it's newest to oldest). They used to have this EXTREMELY BASIC FEATURE but removed it for some reason. DO NOT USE. Imagine developing an app of lists and not have the ability to sort...waste of money,1,0,
59721,2022-01-20 21:23:00,The app opens by itself and interferes with my Bluetooth and other music apps,1,0,
40613,2022-04-02 08:31:38,"Good service overall, but I'm really disappointed, that the support for Pioneer car receivers has been removed without any notice. I have used feature, to select Playlists and songs from my receiver's interface, now I have to mess on my phone's screen which is a massive safety liability.... If they would not have monopoly in the sector I would be switching to a different provider.",1,14,
23730,2022-05-10 05:18:25,App literally doesn't work. Nothing plays. Nothing loads. Web app works fine. All playlists say they are empty when they're not. LOL.,1,1,
57045,2022-01-29 23:51:23,"Sudah successful perpanjang premium package as per info via SMS tapi sampai hari ini, 30 January 2022. Setiap log in, Update your payments method ASAP. Biasanya kalo udah payment g bakal kayak gini account nya. Orang Spotify di email respond sekali doang abis itu GONE MISSIONG. ufffff parah!!",1,0,
57909,2022-01-27 15:34:22,"Adds... Even when you listen to the ""this adds will provide you with 30minutes uninterrupted"" you get 3-4 adds every song....",2,0,
55737,2022-02-03 02:04:07,"Spotify keeps showing unexpected notification: trying to play..., when it is not run. it should Not be automatically trying to Blast into tunes unsolicited! and at unexpected times every day.",1,6,
57960,2022-01-27 13:16:43,Any platform that puts profits over the truth deserves less than a single star. Been a listener for years but now hitting DELETE! Hopefully other subscribers will grow a backbone as well.,1,4,
15602,2022-06-02 16:58:52,"Worst app. Can not play any song. When touch the play button, nothing played. 👎👎👎👎",1,0,
44637,2022-03-15 17:55:56,"Was good as a free user, until they started making it so that they play ""suggested songs"" instead of your liked songs when on mobile. I'm so sick of the garbage Spotify pulls to make even more money. Switching to YT Music ASAP",1,1,
